Years,Pakistan,India
1960,0,146955
1961,-66991,295177
1962,-65780,-70514
1963,-64552,21640
1964,-63298,-141916
1965,-62070,-248299
1966,-61025,-566982
1967,-59932,-70314
1968,-58721,-995416
1969,-57406,-851844
1970,-58281,233782
1971,-68357,-974574
1972,-69209,-82816
1973,-58012,-404743
1974,-34785,347869
1975,-1710,434205
1976,48238,275984
1977,85250,590626
1978,111386,-210444
1979,450003,774094
1980,1078229,210914
1981,555032,33243
1982,294252,-10687
1983,-4753,119694
1984,-319242,-32313
1985,68860,-89991
1986,111045,-249545
1987,146364,-219150
1988,38139,-155676
1989,-17164,-2907
1990,275242,125514
1991,-19668,-157911
1992,-718387,35155
1993,-139493,2364
1994,-277100,-375253
1995,11534,-57297
1996,-60855,-26388
1997,-55539,880
1998,-112191,-1049
1999,-134510,-95320
2000,252869,-143960
2001,-54727,-70346
2002,-653758,-732419
2003,-219118,-606970
2004,-64669,-206660
2005,-189899,-929454
2006,-183933,-342177
2007,576349,-1037200
2008,-140746,-1020047
2009,-18298,-312905
2010,-431902,-50905
2011,-890633,-247017
2012,-1647989,-198935
2013,-1906319,-151372
2014,-2037920,-227263
2015,-2172162,-655085
2016,-2290411,81248
2017,-1574585,-251642
2018,-1309611,-589794
2019,-1177220,-978969
2020,-559291,-73806
2021,-565673,-348916
2022,-1322625,-1353478
2023,-1619557,-979179
2024,-1401173,-630830
