Country,Year,total_population,net_migration
Afghanistan,1960,9035043.0,2606.0
Afghanistan,1961,9214083.0,6109.0
Afghanistan,1962,9404406.0,7016.0
Afghanistan,1963,9604487.0,6681.0
Afghanistan,1964,9814318.0,7079.0
Afghanistan,1965,10036008.0,10695.0
Afghanistan,1966,10266395.0,3563.0
Afghanistan,1967,10505959.0,6824.0
Afghanistan,1968,10756922.0,3333.0
Afghanistan,1969,11017409.0,2029.0
Afghanistan,1970,11290128.0,4458.0
Afghanistan,1971,11567667.0,-12801.0
Afghanistan,1972,11853696.0,-4050.0
Afghanistan,1973,12157999.0,-3030.0
Afghanistan,1974,12469127.0,-20009.0
Afghanistan,1975,12773954.0,-44418.0
Afghanistan,1976,13059851.0,-85430.0
Afghanistan,1977,13340756.0,-83115.0
Afghanistan,1978,13611441.0,-117186.0
Afghanistan,1979,13655567.0,-525413.0
Afghanistan,1980,13169311.0,-1174239.0
Afghanistan,1981,11937581.0,-1998086.0
Afghanistan,1982,10991378.0,-500998.0
Afghanistan,1983,10917982.0,-172797.0
Afghanistan,1984,11190221.0,248224.0
Afghanistan,1985,11426852.0,-208685.0
Afghanistan,1986,11420074.0,-343397.0
Afghanistan,1987,11387818.0,-345535.0
Afghanistan,1988,11523298.0,-56263.0
Afghanistan,1989,11874088.0,18296.0
Afghanistan,1990,12045660.0,-458737.0
Afghanistan,1991,12238879.0,32782.0
Afghanistan,1992,13278974.0,1197329.0
Afghanistan,1993,14943172.0,1149684.0
Afghanistan,1994,16250794.0,315206.0
Afghanistan,1995,17065836.0,52505.0
Afghanistan,1996,17763266.0,4072.0
Afghanistan,1997,18452091.0,-21215.0
Afghanistan,1998,19159996.0,7380.0
Afghanistan,1999,19887785.0,-32400.0
Afghanistan,2000,20130327.0,-1025973.0
Afghanistan,2001,20284307.0,-212872.0
Afghanistan,2002,21378117.0,860349.0
Afghanistan,2003,22733049.0,247317.0
Afghanistan,2004,23560654.0,-269194.0
Afghanistan,2005,24404567.0,250971.0
Afghanistan,2006,25424094.0,57673.0
Afghanistan,2007,25909852.0,-851298.0
Afghanistan,2008,26482622.0,215753.0
Afghanistan,2009,27466101.0,-60602.0
Afghanistan,2010,28284089.0,-167460.0
Afghanistan,2011,29347708.0,384486.0
Afghanistan,2012,30560034.0,68628.0
Afghanistan,2013,31622704.0,18119.0
Afghanistan,2014,32792523.0,233913.0
Afghanistan,2015,33831764.0,-286314.0
Afghanistan,2016,34700612.0,-143049.0
Afghanistan,2017,35688935.0,-71491.0
Afghanistan,2018,36743039.0,-36753.0
Afghanistan,2019,37856121.0,9159.0
Afghanistan,2020,39068979.0,143634.0
Afghanistan,2021,40000412.0,-548784.0
Afghanistan,2022,40578842.0,-647402.0
Afghanistan,2023,41454761.0,-48958.0
Afghanistan,2024,42647492.0,-44089.0
Bangladesh,1960,51828660.0,13580.0
Bangladesh,1961,53310348.0,26503.0
Bangladesh,1962,54881146.0,26533.0
Bangladesh,1963,56504402.0,23215.0
Bangladesh,1964,58178374.0,25426.0
Bangladesh,1965,59902519.0,47610.0
Bangladesh,1966,61669806.0,3758.0
Bangladesh,1967,63510929.0,23164.0
Bangladesh,1968,65408276.0,-7970.0
Bangladesh,1969,67294133.0,-125010.0
Bangladesh,1970,69058894.0,-73719.0
Bangladesh,1971,70276758.0,224369.0
Bangladesh,1972,71641519.0,-269033.0
Bangladesh,1973,73722294.0,-77324.0
Bangladesh,1974,75839348.0,-277545.0
Bangladesh,1975,77854351.0,-390212.0
Bangladesh,1976,79855318.0,-424970.0
Bangladesh,1977,81867264.0,-458491.0
Bangladesh,1978,83889655.0,-486721.0
Bangladesh,1979,85935072.0,-507354.0
Bangladesh,1980,88016432.0,-515918.0
Bangladesh,1981,90303105.0,-184884.0
Bangladesh,1982,92814507.0,-156729.0
Bangladesh,1983,95335155.0,-201909.0
Bangladesh,1984,97814966.0,-245693.0
Bangladesh,1985,100253825.0,-287872.0
Bangladesh,1986,102635572.0,-331992.0
Bangladesh,1987,104959291.0,-367475.0
Bangladesh,1988,107216008.0,-395408.0
Bangladesh,1989,109433799.0,-406910.0
Bangladesh,1990,111633717.0,-404105.0
Bangladesh,1991,113787109.0,-230852.0
Bangladesh,1992,115952192.0,-246914.0
Bangladesh,1993,118132360.0,-271677.0
Bangladesh,1994,120343179.0,-206958.0
Bangladesh,1995,122600370.0,-231304.0
Bangladesh,1996,124862179.0,-254239.0
Bangladesh,1997,127198069.0,-273442.0
Bangladesh,1998,129622332.0,-286966.0
Bangladesh,1999,132108065.0,-286256.0
Bangladesh,2000,134544304.0,-512422.0
Bangladesh,2001,136805810.0,-737740.0
Bangladesh,2002,138933658.0,-819909.0
Bangladesh,2003,140970351.0,-896335.0
Bangladesh,2004,142902856.0,-970264.0
Bangladesh,2005,144715786.0,-1036635.0
Bangladesh,2006,146405973.0,-1091865.0
Bangladesh,2007,147989278.0,-1133553.0
Bangladesh,2008,149474264.0,-1158420.0
Bangladesh,2009,150873714.0,-1150194.0
Bangladesh,2010,152201981.0,-1113727.0
Bangladesh,2011,153591076.0,-848910.0
Bangladesh,2012,155070101.0,-829875.0
Bangladesh,2013,156532141.0,-862944.0
Bangladesh,2014,157964929.0,-889222.0
Bangladesh,2015,159383179.0,-909223.0
Bangladesh,2016,160811932.0,-918770.0
Bangladesh,2017,162186147.0,-1037176.0
Bangladesh,2018,163523103.0,-1029069.0
Bangladesh,2019,164913055.0,-1016796.0
Bangladesh,2020,166298024.0,-1002522.0
Bangladesh,2021,167658854.0,-994722.0
Bangladesh,2022,169384897.0,-549990.0
Bangladesh,2023,171466990.0,-549918.0
Bangladesh,2024,173562364.0,-473362.0
India,1960,435990338.0,146955.0
India,1961,446564729.0,295177.0
India,1962,457283090.0,-70514.0
India,1963,468138575.0,21640.0
India,1964,479229598.0,-141916.0
India,1965,490140146.0,-248299.0
India,1966,500740247.0,-566982.0
India,1967,511606372.0,-70314.0
India,1968,522716889.0,-995416.0
India,1969,533880544.0,-851844.0
India,1970,545864268.0,233782.0
India,1971,558096387.0,-974574.0
India,1972,570482142.0,-82816.0
India,1973,583465598.0,-404743.0
India,1974,597041391.0,347869.0
India,1975,611309535.0,434205.0
India,1976,625861883.0,275984.0
India,1977,640801103.0,590626.0
India,1978,655728229.0,-210444.0
India,1979,671155747.0,774094.0
India,1980,687354025.0,210914.0
India,1981,703696250.0,33243.0
India,1982,720313473.0,-10687.0
India,1983,737372681.0,119694.0
India,1984,754875449.0,-32313.0
India,1985,772647793.0,-89991.0
India,1986,790689978.0,-249545.0
India,1987,808931270.0,-219150.0
India,1988,827342990.0,-155676.0
India,1989,846039529.0,-2907.0
India,1990,864972221.0,125514.0
India,1991,883927600.0,-157911.0
India,1992,902957070.0,35155.0
India,1993,922118387.0,2364.0
India,1994,941163767.0,-375253.0
India,1995,960301044.0,-57297.0
India,1996,979678458.0,-26388.0
India,1997,999133762.0,880.0
India,1998,1018665080.0,-1049.0
India,1999,1038225823.0,-95320.0
India,2000,1057922733.0,-143960.0
India,2001,1077898575.0,-70346.0
India,2002,1097600380.0,-732419.0
India,2003,1116803006.0,-606970.0
India,2004,1135991513.0,-206660.0
India,2005,1154676322.0,-929454.0
India,2006,1172878890.0,-342177.0
India,2007,1190676021.0,-1037200.0
India,2008,1207930964.0,-1020047.0
India,2009,1225524753.0,-312905.0
India,2010,1243481564.0,-50905.0
India,2011,1261224954.0,-247017.0
India,2012,1278674502.0,-198935.0
India,2013,1295829511.0,-151372.0
India,2014,1312277191.0,-227263.0
India,2015,1328024498.0,-655085.0
India,2016,1343944296.0,81248.0
India,2017,1359657400.0,-251642.0
India,2018,1374659064.0,-589794.0
India,2019,1389030312.0,-978969.0
India,2020,1402617695.0,-73806.0
India,2021,1414203896.0,-348916.0
India,2022,1425423212.0,-1353478.0
India,2023,1438069596.0,-979179.0
India,2024,1450935791.0,-630830.0
Pakistan,1960,45709310.0,0.0
Pakistan,1961,46921277.0,-66991.0
Pakistan,1962,48156128.0,-65780.0
Pakistan,1963,49447776.0,-64552.0
Pakistan,1964,50799999.0,-63298.0
Pakistan,1965,52209010.0,-62070.0
Pakistan,1966,53678667.0,-61025.0
Pakistan,1967,55214768.0,-59932.0
Pakistan,1968,56810507.0,-58721.0
Pakistan,1969,58460939.0,-57406.0
Pakistan,1970,60166719.0,-58281.0
Pakistan,1971,61847899.0,-68357.0
Pakistan,1972,63583194.0,-69209.0
Pakistan,1973,65461912.0,-58012.0
Pakistan,1974,67415487.0,-34785.0
Pakistan,1975,69461175.0,-1710.0
Pakistan,1976,71620254.0,48238.0
Pakistan,1977,73901827.0,85250.0
Pakistan,1978,76307379.0,111386.0
Pakistan,1979,78997039.0,450003.0
Pakistan,1980,82291010.0,1078229.0
Pakistan,1981,85802049.0,555032.0
Pakistan,1982,89089246.0,294252.0
Pakistan,1983,92227711.0,-4753.0
Pakistan,1984,95164936.0,-319242.0
Pakistan,1985,98229285.0,68860.0
Pakistan,1986,101606764.0,111045.0
Pakistan,1987,105130717.0,146364.0
Pakistan,1988,108724739.0,38139.0
Pakistan,1989,112336629.0,-17164.0
Pakistan,1990,116155576.0,275242.0
Pakistan,1991,120060406.0,-19668.0
Pakistan,1992,123546848.0,-718387.0
Pakistan,1993,127020117.0,-139493.0
Pakistan,1994,130748083.0,-277100.0
Pakistan,1995,134582253.0,11534.0
Pakistan,1996,138557092.0,-60855.0
Pakistan,1997,142531804.0,-55539.0
Pakistan,1998,146522356.0,-112191.0
Pakistan,1999,150565377.0,-134510.0
Pakistan,2000,154879127.0,252869.0
Pakistan,2001,159270907.0,-54727.0
Pakistan,2002,163222549.0,-653758.0
Pakistan,2003,167110248.0,-219118.0
Pakistan,2004,171286000.0,-64669.0
Pakistan,2005,175453212.0,-189899.0
Pakistan,2006,179682690.0,-183933.0
