Country,Year,total_population,net_migration,population_change,emigrants
Afghanistan,1961,9214083.0,6109.0,179040.0,172931.0
Afghanistan,1962,9404406.0,7016.0,190323.0,183307.0
Afghanistan,1963,9604487.0,6681.0,200081.0,193400.0
Afghanistan,1964,9814318.0,7079.0,209831.0,202752.0
Afghanistan,1965,10036008.0,10695.0,221690.0,210995.0
Afghanistan,1966,10266395.0,3563.0,230387.0,226824.0
Afghanistan,1967,10505959.0,6824.0,239564.0,232740.0
Afghanistan,1968,10756922.0,3333.0,250963.0,247630.0
Afghanistan,1969,11017409.0,2029.0,260487.0,258458.0
Afghanistan,1970,11290128.0,4458.0,272719.0,268261.0
Afghanistan,1971,11567667.0,-12801.0,277539.0,290340.0
Afghanistan,1972,11853696.0,-4050.0,286029.0,290079.0
Afghanistan,1973,12157999.0,-3030.0,304303.0,307333.0
Afghanistan,1974,12469127.0,-20009.0,311128.0,331137.0
Afghanistan,1975,12773954.0,-44418.0,304827.0,349245.0
Afghanistan,1976,13059851.0,-85430.0,285897.0,371327.0
Afghanistan,1977,13340756.0,-83115.0,280905.0,364020.0
Afghanistan,1978,13611441.0,-117186.0,270685.0,387871.0
Afghanistan,1979,13655567.0,-525413.0,44126.0,569539.0
Afghanistan,1980,13169311.0,-1174239.0,-486256.0,687983.0
Afghanistan,1981,11937581.0,-1998086.0,-1231730.0,766356.0
Afghanistan,1982,10991378.0,-500998.0,-946203.0,-445205.0
Afghanistan,1983,10917982.0,-172797.0,-73396.0,99401.0
Afghanistan,1984,11190221.0,248224.0,272239.0,24015.0
Afghanistan,1985,11426852.0,-208685.0,236631.0,445316.0
Afghanistan,1986,11420074.0,-343397.0,-6778.0,336619.0
Afghanistan,1987,11387818.0,-345535.0,-32256.0,313279.0
Afghanistan,1988,11523298.0,-56263.0,135480.0,191743.0
Afghanistan,1989,11874088.0,18296.0,350790.0,332494.0
Afghanistan,1990,12045660.0,-458737.0,171572.0,630309.0
Afghanistan,1991,12238879.0,32782.0,193219.0,160437.0
Afghanistan,1992,13278974.0,1197329.0,1040095.0,-157234.0
Afghanistan,1993,14943172.0,1149684.0,1664198.0,514514.0
Afghanistan,1994,16250794.0,315206.0,1307622.0,992416.0
Afghanistan,1995,17065836.0,52505.0,815042.0,762537.0
Afghanistan,1996,17763266.0,4072.0,697430.0,693358.0
Afghanistan,1997,18452091.0,-21215.0,688825.0,710040.0
Afghanistan,1998,19159996.0,7380.0,707905.0,700525.0
Afghanistan,1999,19887785.0,-32400.0,727789.0,760189.0
Afghanistan,2000,20130327.0,-1025973.0,242542.0,1268515.0
Afghanistan,2001,20284307.0,-212872.0,153980.0,366852.0
Afghanistan,2002,21378117.0,860349.0,1093810.0,233461.0
Afghanistan,2003,22733049.0,247317.0,1354932.0,1107615.0
Afghanistan,2004,23560654.0,-269194.0,827605.0,1096799.0
Afghanistan,2005,24404567.0,250971.0,843913.0,592942.0
Afghanistan,2006,25424094.0,57673.0,1019527.0,961854.0
Afghanistan,2007,25909852.0,-851298.0,485758.0,1337056.0
Afghanistan,2008,26482622.0,215753.0,572770.0,357017.0
Afghanistan,2009,27466101.0,-60602.0,983479.0,1044081.0
Afghanistan,2010,28284089.0,-167460.0,817988.0,985448.0
Afghanistan,2011,29347708.0,384486.0,1063619.0,679133.0
Afghanistan,2012,30560034.0,68628.0,1212326.0,1143698.0
Afghanistan,2013,31622704.0,18119.0,1062670.0,1044551.0
Afghanistan,2014,32792523.0,233913.0,1169819.0,935906.0
Afghanistan,2015,33831764.0,-286314.0,1039241.0,1325555.0
Afghanistan,2016,34700612.0,-143049.0,868848.0,1011897.0
Afghanistan,2017,35688935.0,-71491.0,988323.0,1059814.0
Afghanistan,2018,36743039.0,-36753.0,1054104.0,1090857.0
Afghanistan,2019,37856121.0,9159.0,1113082.0,1103923.0
Afghanistan,2020,39068979.0,143634.0,1212858.0,1069224.0
Afghanistan,2021,40000412.0,-548784.0,931433.0,1480217.0
Afghanistan,2022,40578842.0,-647402.0,578430.0,1225832.0
Afghanistan,2023,41454761.0,-48958.0,875919.0,924877.0
Afghanistan,2024,42647492.0,-44089.0,1192731.0,1236820.0
Bangladesh,1961,53310348.0,26503.0,1481688.0,1455185.0
Bangladesh,1962,54881146.0,26533.0,1570798.0,1544265.0
Bangladesh,1963,56504402.0,23215.0,1623256.0,1600041.0
Bangladesh,1964,58178374.0,25426.0,1673972.0,1648546.0
Bangladesh,1965,59902519.0,47610.0,1724145.0,1676535.0
Bangladesh,1966,61669806.0,3758.0,1767287.0,1763529.0
Bangladesh,1967,63510929.0,23164.0,1841123.0,1817959.0
Bangladesh,1968,65408276.0,-7970.0,1897347.0,1905317.0
Bangladesh,1969,67294133.0,-125010.0,1885857.0,2010867.0
Bangladesh,1970,69058894.0,-73719.0,1764761.0,1838480.0
Bangladesh,1971,70276758.0,224369.0,1217864.0,993495.0
Bangladesh,1972,71641519.0,-269033.0,1364761.0,1633794.0
Bangladesh,1973,73722294.0,-77324.0,2080775.0,2158099.0
Bangladesh,1974,75839348.0,-277545.0,2117054.0,2394599.0
Bangladesh,1975,77854351.0,-390212.0,2015003.0,2405215.0
Bangladesh,1976,79855318.0,-424970.0,2000967.0,2425937.0
Bangladesh,1977,81867264.0,-458491.0,2011946.0,2470437.0
Bangladesh,1978,83889655.0,-486721.0,2022391.0,2509112.0
Bangladesh,1979,85935072.0,-507354.0,2045417.0,2552771.0
Bangladesh,1980,88016432.0,-515918.0,2081360.0,2597278.0
Bangladesh,1981,90303105.0,-184884.0,2286673.0,2471557.0
Bangladesh,1982,92814507.0,-156729.0,2511402.0,2668131.0
Bangladesh,1983,95335155.0,-201909.0,2520648.0,2722557.0
Bangladesh,1984,97814966.0,-245693.0,2479811.0,2725504.0
Bangladesh,1985,100253825.0,-287872.0,2438859.0,2726731.0
Bangladesh,1986,102635572.0,-331992.0,2381747.0,2713739.0
Bangladesh,1987,104959291.0,-367475.0,2323719.0,2691194.0
Bangladesh,1988,107216008.0,-395408.0,2256717.0,2652125.0
Bangladesh,1989,109433799.0,-406910.0,2217791.0,2624701.0
Bangladesh,1990,111633717.0,-404105.0,2199918.0,2604023.0
Bangladesh,1991,113787109.0,-230852.0,2153392.0,2384244.0
Bangladesh,1992,115952192.0,-246914.0,2165083.0,2411997.0
Bangladesh,1993,118132360.0,-271677.0,2180168.0,2451845.0
Bangladesh,1994,120343179.0,-206958.0,2210819.0,2417777.0
Bangladesh,1995,122600370.0,-231304.0,2257191.0,2488495.0
Bangladesh,1996,124862179.0,-254239.0,2261809.0,2516048.0
Bangladesh,1997,127198069.0,-273442.0,2335890.0,2609332.0
Bangladesh,1998,129622332.0,-286966.0,2424263.0,2711229.0
Bangladesh,1999,132108065.0,-286256.0,2485733.0,2771989.0
Bangladesh,2000,134544304.0,-512422.0,2436239.0,2948661.0
Bangladesh,2001,136805810.0,-737740.0,2261506.0,2999246.0
Bangladesh,2002,138933658.0,-819909.0,2127848.0,2947757.0
Bangladesh,2003,140970351.0,-896335.0,2036693.0,2933028.0
Bangladesh,2004,142902856.0,-970264.0,1932505.0,2902769.0
Bangladesh,2005,144715786.0,-1036635.0,1812930.0,2849565.0
Bangladesh,2006,146405973.0,-1091865.0,1690187.0,2782052.0
Bangladesh,2007,147989278.0,-1133553.0,1583305.0,2716858.0
Bangladesh,2008,149474264.0,-1158420.0,1484986.0,2643406.0
Bangladesh,2009,150873714.0,-1150194.0,1399450.0,2549644.0
Bangladesh,2010,152201981.0,-1113727.0,1328267.0,2441994.0
Bangladesh,2011,153591076.0,-848910.0,1389095.0,2238005.0
Bangladesh,2012,155070101.0,-829875.0,1479025.0,2308900.0
Bangladesh,2013,156532141.0,-862944.0,1462040.0,2324984.0
Bangladesh,2014,157964929.0,-889222.0,1432788.0,2322010.0
